iter	Passed	Remaining
0	36	36736
1	70	35368
2	105	34975
3	139	34680
4	178	35600
5	212	35234
6	244	34634
7	278	34530
8	315	34691
9	346	34262
10	386	34756
11	420	34605
12	455	34571
13	489	34447
14	524	34459
15	559	34422
16	593	34309
17	624	34070
18	661	34141
19	694	34030
20	730	34055
21	766	34093
22	801	34056
23	834	33938
24	871	33970
25	908	34051
26	944	34038
27	977	33918
28	1008	33756
29	1043	33729
30	1081	33811
31	1115	33732
32	1149	33682
33	1181	33571
34	1222	33697
35	1260	33751
36	1292	33630
37	1329	33665
38	1365	33654
39	1401	33633
40	1442	33751
41	1483	33834
42	1518	33793
43	1553	33743
44	1588	33707
45	1625	33705
46	1662	33719
47	1698	33695
48	1733	33652
49	1766	33572
50	1803	33550
51	1839	33533
52	1877	33550
53	1911	33483
54	1950	33508
55	1982	33426
56	2018	33391
57	2051	33327
58	2088	33303
59	2117	33172
