date,open,close,high,low,volume
2024-01-01,105.50,108.20,109.50,104.80,850000
2024-01-02,108.20,110.50,112.00,107.50,900000
2024-01-03,110.50,108.80,111.50,107.20,880000
2024-01-04,108.80,112.00,113.50,108.00,920000
2024-01-05,112.00,115.30,116.80,111.50,950000
2024-01-08,115.30,113.50,116.20,112.80,890000
2024-01-09,113.50,116.80,118.50,113.00,930000
2024-01-10,116.80,118.50,120.00,116.20,970000
2024-01-11,118.50,117.20,119.50,116.50,910000
2024-01-12,117.20,120.50,122.00,117.00,990000
2024-01-15,120.50,122.80,124.50,120.00,1020000
2024-01-16,122.80,121.50,123.80,120.80,960000
2024-01-17,121.50,124.50,126.00,121.00,1010000
2024-01-18,124.50,123.00,125.50,122.20,970000
2024-01-19,123.00,126.50,128.00,122.80,1040000
2024-01-22,126.50,125.00,127.50,124.00,980000
2024-01-23,125.00,128.50,130.00,124.50,1050000
2024-01-24,128.50,127.00,129.50,126.20,1000000
2024-01-25,127.00,130.50,132.00,126.80,1080000
2024-01-26,130.50,132.80,134.50,130.00,1100000
